Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"etcd.endpoints"="192.168.37.14:2379"
"insertproportion"="0"
"readallfields"="true"
"threadcount"="8"
"dotransactions"="true"
"operationcount"="50000"
"readproportion"="0.5"
"recordcount"="100000"
"measurementtype"="raw"
"docollectingdata"="false"
"command"="run"
"workload"="core"
"etcd.dial_timeout"="10s"
"requestdistribution"="uniform"
"scanproportion"="0"
"updateproportion"="0.5"
**********************************************
**********************************************
Run finished, takes 3m30.714394972s
operation,timestamp_us,latency_us
TOTAL,1716265692117847,44868
TOTAL,1716265692117817,44904
TOTAL,1716265692140158,23560
TOTAL,1716265692140168,23627
TOTAL,1716265692140295,23503
TOTAL,1716265692141119,43976
TOTAL,1716265692141970,43127
TOTAL,1716265692162691,23181
TOTAL,1716265692163737,23059
TOTAL,1716265692163814,23067
TOTAL,1716265692162728,45335
TOTAL,1716265692163811,44264
TOTAL,1716265692162733,45360
TOTAL,1716265692185890,23328
TOTAL,1716265692186806,43293
TOTAL,1716265692185108,45001
TOTAL,1716265692186888,43252
TOTAL,1716265692185108,45047
TOTAL,1716265692208083,23566
TOTAL,1716265692209237,23186
TOTAL,1716265692208106,44287
TOTAL,1716265692208089,44326
TOTAL,1716265692230124,23076
TOTAL,1716265692230131,23849
TOTAL,1716265692230174,23822
TOTAL,1716265692230160,23851
TOTAL,1716265692231664,23086
TOTAL,1716265692232438,43273
TOTAL,1716265692252412,23364
TOTAL,1716265692254009,23238
TOTAL,1716265692254765,22979
TOTAL,1716265692254008,44097
TOTAL,1716265692253213,45101
TOTAL,1716265692252425,45935
TOTAL,1716265692254021,44345
TOTAL,1716265692275796,23293
TOTAL,1716265692275741,23367
TOTAL,1716265692277279,23017
TOTAL,1716265692277756,42922
TOTAL,1716265692298122,23191
TOTAL,1716265692298331,23134
TOTAL,1716265692298384,23235
TOTAL,1716265692298381,23343
TOTAL,1716265692299123,43943
TOTAL,1716265692300306,42842
TOTAL,1716265692299107,44044
TOTAL,1716265692320716,23250
TOTAL,1716265692321332,23138
TOTAL,1716265692321742,23063
TOTAL,1716265692321476,23354
TOTAL,1716265692321627,44489
TOTAL,1716265692343167,23301
TOTAL,1716265692343992,22906
TOTAL,1716265692344825,23098
TOTAL,1716265692344844,43793
TOTAL,1716265692343166,45495
TOTAL,1716265692344483,44296
TOTAL,1716265692343077,45784
TOTAL,1716265692366483,23143
TOTAL,1716265692366915,23156
TOTAL,1716265692367944,23059
TOTAL,1716265692366129,44814
TOTAL,1716265692388659,23510
TOTAL,1716265692388884,23422
TOTAL,1716265692388792,23576
TOTAL,1716265692389647,23304
TOTAL,1716265692390090,23247
TOTAL,1716265692391020,23117
TOTAL,1716265692388673,44569
TOTAL,1716265692410966,23209
TOTAL,1716265692412388,23235
TOTAL,1716265692412326,23368
TOTAL,1716265692412965,42710
TOTAL,1716265692414151,41587
TOTAL,1716265692413354,42387
TOTAL,1716265692412185,43562
TOTAL,1716265692434195,23112
TOTAL,1716265692435642,23364
TOTAL,1716265692433272,44763
TOTAL,1716265692435710,42359
TOTAL,1716265692457327,23076
TOTAL,1716265692459020,41408
TOTAL,1716265692455752,44722
TOTAL,1716265692455752,45307
TOTAL,1716265692455687,45654
TOTAL,1716265692455760,45621
TOTAL,1716265692480422,23055
TOTAL,1716265692478081,44886
TOTAL,1716265692478046,44947
TOTAL,1716265692501024,23468
TOTAL,1716265692501453,23695
TOTAL,1716265692501432,23725
TOTAL,1716265692503517,23215
TOTAL,1716265692500440,45002
TOTAL,1716265692501082,44398
TOTAL,1716265692523002,23329
TOTAL,1716265692524521,23175
TOTAL,1716265692525170,23241
TOTAL,1716265692526747,41181
TOTAL,1716265692525168,42795
TOTAL,1716265692523007,45034
TOTAL,1716265692545508,23389
TOTAL,1716265692547706,42713
TOTAL,1716265692548427,41996
TOTAL,1716265692546345,44419
TOTAL,1716265692545454,45330
TOTAL,1716265692568067,23323
TOTAL,1716265692567983,23486
TOTAL,1716265692568906,43906
TOTAL,1716265692567940,44911
TOTAL,1716265692590447,23503
TOTAL,1716265692591478,22970
TOTAL,1716265692590782,23692
TOTAL,1716265692590804,23683
TOTAL,1716265692591397,43781
TOTAL,1716265692590432,44829
TOTAL,1716265692614476,23211
TOTAL,1716265692614501,23240
TOTAL,1716265692614489,23261
TOTAL,1716265692613964,43711
TOTAL,1716265692612869,44806
TOTAL,1716265692612826,45002
TOTAL,1716265692635281,23215
TOTAL,1716265692637701,45288
TOTAL,1716265692635193,47965
TOTAL,1716265692657853,25320
TOTAL,1716265692637751,45428
TOTAL,1716265692637761,45444
TOTAL,1716265692657700,25633
TOTAL,1716265692658515,24867
TOTAL,1716265692657688,45677
TOTAL,1716265692683190,23596
TOTAL,1716265692683349,23904
TOTAL,1716265692683223,24156
TOTAL,1716265692683167,42683
TOTAL,1716265692683192,42713
TOTAL,1716265692683388,42533
TOTAL,1716265692683001,42920
TOTAL,1716265692707271,40843
TOTAL,1716265692707395,40803
TOTAL,1716265692703377,44823
TOTAL,1716265692706797,41413
TOTAL,1716265692725870,23291
TOTAL,1716265692725941,23531
TOTAL,1716265692725929,23682
TOTAL,1716265692725931,44773
TOTAL,1716265692748139,23142
TOTAL,1716265692748222,23792
TOTAL,1716265692748227,23797
TOTAL,1716265692749182,23074
TOTAL,1716265692749631,22992
TOTAL,1716265692749486,23138
TOTAL,1716265692748211,44804
TOTAL,1716265692772032,23330
TOTAL,1716265692772638,23202
TOTAL,1716265692772264,43261
TOTAL,1716265692772037,43532
TOTAL,1716265692771297,44275
TOTAL,1716265692770717,45020
TOTAL,1716265692772633,43235
TOTAL,1716265692793033,23589
TOTAL,1716265692795861,22897
TOTAL,1716265692795376,42648
TOTAL,1716265692815543,23206
TOTAL,1716265692815590,23595
TOTAL,1716265692815590,23609
TOTAL,1716265692815750,23529
TOTAL,1716265692816642,23204
TOTAL,1716265692818774,23321
TOTAL,1716265692815879,44766
TOTAL,1716265692838052,23162
TOTAL,1716265692838768,23279
TOTAL,1716265692839298,23156
TOTAL,1716265692839202,23512
TOTAL,1716265692839865,22955
TOTAL,1716265692842113,25338
TOTAL,1716265692839215,43714
TOTAL,1716265692860667,23044
TOTAL,1716265692862731,23156
TOTAL,1716265692867470,23256
TOTAL,1716265692862836,42554
TOTAL,1716265692861227,44267
TOTAL,1716265692862060,43457
TOTAL,1716265692862468,43070
TOTAL,1716265692882949,23510
TOTAL,1716265692883730,23224
TOTAL,1716265692885900,42166
TOTAL,1716265692890740,37342
TOTAL,1716265692905417,23292
TOTAL,1716265692905560,23489
TOTAL,1716265692905539,23554
TOTAL,1716265692906493,23132
TOTAL,1716265692906973,23238
TOTAL,1716265692905505,44865
TOTAL,1716265692928083,23410
TOTAL,1716265692928108,23433
TOTAL,1716265692928729,23146
TOTAL,1716265692929646,23150
TOTAL,1716265692929113,23736
TOTAL,1716265692930228,23025
TOTAL,1716265692929062,43699
TOTAL,1716265692950392,23321
TOTAL,1716265692951894,22985
TOTAL,1716265692952816,23136
TOTAL,1716265692952867,42325
TOTAL,1716265692951515,43709
TOTAL,1716265692951558,43673
TOTAL,1716265692953267,41980
TOTAL,1716265692974899,23143
TOTAL,1716265692975962,41699
TOTAL,1716265692972773,44943
TOTAL,1716265692973726,44049
TOTAL,1716265692995265,23300
TOTAL,1716265692995211,23375
TOTAL,1716265692998058,42043
TOTAL,1716265692995245,44861
TOTAL,1716265692995238,44877
TOTAL,1716265693017682,23330
TOTAL,1716265693018619,23027
TOTAL,1716265693018581,43913
TOTAL,1716265693017730,44841
TOTAL,1716265693017789,44829
