Now loading data using DB:  etcd
core
Using request distribution 'latest' a keyrange of [0 99999]
***************** properties *****************
"requestdistribution"="latest"
"readallfields"="true"
"command"="run"
"threadcount"="5"
"insertproportion"="0.05"
"readproportion"="0.95"
"etcd.dial_timeout"="1s"
"operationcount"="50000"
"dotransactions"="true"
"etcd.endpoints"="192.168.37.11:2379"
"updateproportion"="0"
"workload"="core"
"recordcount"="100000"
"scanproportion"="0"
"docollectingdata"="false"
**********************************************
INSERT - Takes(s): 189.8, Count: 411, OPS: 2.2, Avg(us): 68948, Min(us): 53120, Max(us): 120831, 50th(us): 64447, 90th(us): 90559, 95th(us): 97087, 99th(us): 108799, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 189.9, Count: 4075, OPS: 21.5, Avg(us): 121089, Min(us): 53920, Max(us): 152703, 50th(us): 121215, 90th(us): 130815, 95th(us): 133887, 99th(us): 140287, 99.9th(us): 147711, 99.99th(us): 152703
READ_ERROR - Takes(s): 189.9, Count: 3531, OPS: 18.6, Avg(us): 121139, Min(us): 52288, Max(us): 159359, 50th(us): 121663, 90th(us): 130815, 95th(us): 134143, 99th(us): 139775, 99.9th(us): 149631, 99.99th(us): 159359
TOTAL  - Takes(s): 189.9, Count: 4486, OPS: 23.6, Avg(us): 116312, Min(us): 53120, Max(us): 152703, 50th(us): 120447, 90th(us): 130367, 95th(us): 133503, 99th(us): 140031, 99.9th(us): 147711, 99.99th(us): 152703
INSERT - Takes(s): 199.8, Count: 435, OPS: 2.2, Avg(us): 68489, Min(us): 53120, Max(us): 120831, 50th(us): 64255, 90th(us): 89791, 95th(us): 96959, 99th(us): 108799, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 199.9, Count: 4311, OPS: 21.6, Avg(us): 120899, Min(us): 53920, Max(us): 152703, 50th(us): 121087, 90th(us): 130559, 95th(us): 133503, 99th(us): 140159, 99.9th(us): 147711, 99.99th(us): 152703
READ_ERROR - Takes(s): 199.9, Count: 3709, OPS: 18.6, Avg(us): 120960, Min(us): 52288, Max(us): 159359, 50th(us): 121279, 90th(us): 130687, 95th(us): 133887, 99th(us): 139775, 99.9th(us): 149631, 99.99th(us): 159359
TOTAL  - Takes(s): 199.9, Count: 4746, OPS: 23.7, Avg(us): 116095, Min(us): 53120, Max(us): 152703, 50th(us): 120319, 90th(us): 130111, 95th(us): 133247, 99th(us): 139775, 99.9th(us): 147071, 99.99th(us): 152703
INSERT - Takes(s): 209.8, Count: 461, OPS: 2.2, Avg(us): 68038, Min(us): 51040, Max(us): 120831, 50th(us): 64063, 90th(us): 89535, 95th(us): 96127, 99th(us): 106239, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 209.9, Count: 4568, OPS: 21.8, Avg(us): 120729, Min(us): 53920, Max(us): 152703, 50th(us): 120895, 90th(us): 130303, 95th(us): 133375, 99th(us): 139775, 99.9th(us): 147071, 99.99th(us): 152703
READ_ERROR - Takes(s): 209.9, Count: 3863, OPS: 18.4, Avg(us): 120837, Min(us): 52288, Max(us): 159359, 50th(us): 121215, 90th(us): 130559, 95th(us): 133631, 99th(us): 139775, 99.9th(us): 149631, 99.99th(us): 159359
TOTAL  - Takes(s): 209.9, Count: 5029, OPS: 24.0, Avg(us): 115899, Min(us): 51040, Max(us): 152703, 50th(us): 120255, 90th(us): 129791, 95th(us): 132863, 99th(us): 139647, 99.9th(us): 147071, 99.99th(us): 151551
INSERT - Takes(s): 219.8, Count: 478, OPS: 2.2, Avg(us): 67820, Min(us): 51040, Max(us): 120831, 50th(us): 63967, 90th(us): 89151, 95th(us): 95807, 99th(us): 106239, 99.9th(us): 120831, 99.99th(us): 120831
READ   - Takes(s): 219.9, Count: 4835, OPS: 22.0, Avg(us): 120529, Min(us): 53920, Max(us): 152703, 50th(us): 120703, 90th(us): 130047, 95th(us): 133119, 99th(us): 139647, 99.9th(us): 147071, 99.99th(us): 152703
READ_ERROR - Takes(s): 219.9, Count: 4012, OPS: 18.2, Avg(us): 120723, Min(us): 52288, Max(us): 159359, 50th(us): 121087, 90th(us): 130239, 95th(us): 133503, 99th(us): 139647, 99.9th(us): 149631, 99.99th(us): 159359
TOTAL  - Takes(s): 219.9, Count: 5313, OPS: 24.2, Avg(us): 115787, Min(us): 51040, Max(us): 152703, 50th(us): 119999, 90th(us): 129535, 95th(us): 132735, 99th(us): 139391, 99.9th(us): 147071, 99.99th(us): 151551
INSERT - Takes(s): 229.8, Count: 506, OPS: 2.2, Avg(us): 67478, Min(us): 51040, Max(us): 120831, 50th(us): 63775, 90th(us): 88319, 95th(us): 95423, 99th(us): 106239, 99.9th(us): 110463, 99.99th(us): 120831
READ   - Takes(s): 229.9, Count: 5101, OPS: 22.2, Avg(us): 120375, Min(us): 53920, Max(us): 152703, 50th(us): 120575, 90th(us): 129791, 95th(us): 132863, 99th(us): 139647, 99.9th(us): 147071, 99.99th(us): 151551
READ_ERROR - Takes(s): 229.9, Count: 4158, OPS: 18.1, Avg(us): 120603, Min(us): 52288, Max(us): 159359, 50th(us): 120959, 90th(us): 130111, 95th(us): 133247, 99th(us): 139519, 99.9th(us): 149631, 99.99th(us): 159359
TOTAL  - Takes(s): 229.9, Count: 5607, OPS: 24.4, Avg(us): 115602, Min(us): 51040, Max(us): 152703, 50th(us): 119807, 90th(us): 129215, 95th(us): 132479, 99th(us): 139263, 99.9th(us): 146559, 99.99th(us): 151551
INSERT - Takes(s): 239.8, Count: 526, OPS: 2.2, Avg(us): 67261, Min(us): 51040, Max(us): 120831, 50th(us): 63743, 90th(us): 87551, 95th(us): 95039, 99th(us): 106239, 99.9th(us): 110463, 99.99th(us): 120831
READ   - Takes(s): 239.9, Count: 5365, OPS: 22.4, Avg(us): 120231, Min(us): 53920, Max(us): 152703, 50th(us): 120511, 90th(us): 129599, 95th(us): 132607, 99th(us): 139263, 99.9th(us): 147071, 99.99th(us): 151551
READ_ERROR - Takes(s): 239.9, Count: 4309, OPS: 18.0, Avg(us): 120505, Min(us): 52288, Max(us): 159359, 50th(us): 120831, 90th(us): 130047, 95th(us): 133119, 99th(us): 139391, 99.9th(us): 149631, 99.99th(us): 159359
TOTAL  - Takes(s): 239.9, Count: 5891, OPS: 24.6, Avg(us): 115501, Min(us): 51040, Max(us): 152703, 50th(us): 119679, 90th(us): 128959, 95th(us): 132223, 99th(us): 139135, 99.9th(us): 146559, 99.99th(us): 151551
INSERT - Takes(s): 249.8, Count: 550, OPS: 2.2, Avg(us): 67024, Min(us): 51040, Max(us): 120831, 50th(us): 63583, 90th(us): 86975, 95th(us): 94975, 99th(us): 106239, 99.9th(us): 110463, 99.99th(us): 120831
READ   - Takes(s): 249.9, Count: 5638, OPS: 22.6, Avg(us): 120093, Min(us): 53920, Max(us): 152703, 50th(us): 120319, 90th(us): 129279, 95th(us): 132479, 99th(us): 139263, 99.9th(us): 146559, 99.99th(us): 151551
READ_ERROR - Takes(s): 249.9, Count: 4448, OPS: 17.8, Avg(us): 120408, Min(us): 52288, Max(us): 159359, 50th(us): 120703, 90th(us): 129983, 95th(us): 132991, 99th(us): 139391, 99.9th(us): 149631, 99.99th(us): 159359
TOTAL  - Takes(s): 249.9, Count: 6188, OPS: 24.8, Avg(us): 115376, Min(us): 51040, Max(us): 152703, 50th(us): 119487, 90th(us): 128767, 95th(us): 132095, 99th(us): 139007, 99.9th(us): 146559, 99.99th(us): 151551
INSERT - Takes(s): 259.8, Count: 566, OPS: 2.2, Avg(us): 66854, Min(us): 51040, Max(us): 120831, 50th(us): 63519, 90th(us): 86463, 95th(us): 94783, 99th(us): 105599, 99.9th(us): 110463, 99.99th(us): 120831
